aerolinea,codigo_vuelo,origen,destino,distancia,salida,duracion,retraso
XE,XE2305,MSP,EWR,1008,1638,176,64
XE,XE2821,GSO,EWR,446,2046,88,35
XE,XE3042,SDF,CLE,304,1706,113,39
XE,XE2396,EWR,DTW,487,1826,114,34
XE,XE2409,EWR,MSN,799,1413,136,4
XE,XE2145,OMA,IAH,781,1625,127,111
XE,XE2575,EWR,PIT,319,2243,107,296
XE,XE2699,DAY,IAH,929,2213,174,247
XE,XE2601,MEM,IAH,469,1921,95,51
XE,XE2674,EWR,MHT,209,1133,95,1
XE,XE2717,EWR,STL,872,2025,191,42
XE,XE2705,CLE,IAD,288,2039,95,44
XE,XE2403,EWR,TUL,1215,1952,231,46
XE,XE2246,CHS,EWR,628,637,100,-13
XE,XE2899,PIT,EWR,319,1815,140,72
XE,XE1209,EWR,IAD,213,1718,84,149
XE,XE2996,ORF,EWR,284,1751,85,21
XE,XE2364,EWR,STL,872,1713,184,185
XE,XE2288,IAH,DAY,929,2013,142,16
XE,XE1226,ORD,EWR,719,1652,149,51
XE,XE2448,EWR,PWM,284,1659,65,16
XE,XE2161,RDU,EWR,416,1605,90,6
XE,XE2166,LEX,IAH,828,1858,157,25
XE,XE2284,IAH,TYS,772,1747,125,30
XE,XE2813,JAX,EWR,821,2030,124,9
XE,XE2958,CLE,PHL,363,1309,91,53
XE,XE2950,MKE,EWR,725,1701,153,39
XE,XE2494,EWR,ORF,284,1113,73,-4
XE,XE2608,EWR,XNA,1130,1613,201,20
XE,XE3139,CLE,DFW,1021,1700,205,23
XE,XE2066,BUF,EWR,282,1827,180,172
XE,XE2214,EWR,BGR,393,2058,92,-9
XE,XE3143,CLE,SDF,304,1651,96,32
XE,XE2945,PWM,EWR,284,1425,134,74
XE,XE2907,IAH,LFT,201,1922,84,44
XE,XE2983,IAH,VPS,510,1723,90,91
XE,XE2740,EWR,RIC,278,1641,81,-8
XE,XE2827,DFW,IAH,224,1206,60,-4
XE,XE2391,ALB,EWR,143,1335,75,26
XE,XE2404,GSO,EWR,446,1411,112,18
XE,XE2042,DFW,CLE,1021,1946,185,53
XE,XE2506,BNA,IAH,657,714,130,10
XE,XE2479,XNA,IAH,438,1312,98,75
XE,XE2667,MCI,IAH,643,1253,120,25
XE,XE2670,AVL,EWR,583,1731,132,64
XE,XE3135,CVG,IAH,871,1743,150,-2
XE,XE1221,EWR,ATL,745,1127,162,60
XE,XE3070,EWR,CLT,529,2052,139,8
XE,XE2158,ORF,CLE,435,1448,105,66
XE,XE2509,IAH,AMA,519,1824,101,13
XE,XE3154,BHM,EWR,850,1711,138,9
XE,XE2274,IAH,DAL,217,836,58,2
XE,XE2458,BNA,IAH,657,1107,134,12
XE,XE2281,IAH,MCI,643,1905,126,96
XE,XE3105,IND,CLE,261,1348,99,42
XE,XE3048,OMA,IAH,781,1601,131,8
XE,XE2607,CLE,LGA,418,1735,155,93
XE,XE2302,IAH,BNA,657,907,99,16
XE,XE3053,DTW,EWR,487,1532,120,47
XE,XE2591,IAH,SLC,1195,2243,197,71
XE,XE2122,IAH,GSO,986,1017,141,3
XE,XE2965,BUF,CLE,192,941,77,16
XE,XE2669,EWR,MCI,1092,2212,190,93
XE,XE2671,DSM,IAH,802,1711,146,14
XE,XE2594,ABE,CLE,339,1814,81,36
XE,XE2481,STL,IAH,668,1420,126,37
XE,XE2777,SLC,IAH,1195,1516,165,-4
XE,XE2951,IND,EWR,644,2043,115,14
XE,XE2875,IAH,MFE,316,36,61,98
XE,XE1216,DCA,EWR,199,2112,76,-17
XE,XE3107,CLE,GRR,214,2250,90,146
XE,XE3118,GSO,EWR,446,1835,88,23
XE,XE1215,EWR,DCA,199,1740,63,24
XE,XE2651,CLE,BNA,448,1737,139,107
XE,XE3046,IAH,VPS,510,1224,90,132
XE,XE2213,IAH,ATL,689,2133,103,31
XE,XE2924,IAH,OMA,781,1256,170,114
XE,XE1224,DCA,EWR,199,1928,68,-9
XE,XE1236,DCA,EWR,199,1115,64,9
XE,XE2338,EWR,RIC,278,2220,81,51
XE,XE2219,TYS,IAH,772,1907,143,28
XE,XE2948,MKE,CLE,328,2005,127,132
XE,XE2080,BNA,CLE,448,1948,157,200
XE,XE2532,CLE,RIC,362,1703,98,86
XE,XE2835,IAH,ABQ,744,1357,144,21
XE,XE2886,TUL,IAH,429,1327,91,15
XE,XE3076,MEM,EWR,946,1410,199,44
XE,XE2764,EWR,STL,872,1658,167,13
XE,XE3094,CLE,MCI,694,1715,151,36
XE,XE3074,CMH,EWR,462,2103,113,76
XE,XE3141,EWR,GSO,446,1533,103,8
XE,XE2435,SDF,EWR,642,1508,113,21
XE,XE3121,IAH,CLT,913,1743,138,2
XE,XE2763,BGR,EWR,393,1431,207,84
XE,XE1219,EWR,DCA,199,2233,66,42
XE,XE2155,JAN,IAH,351,1412,87,15
XE,XE2112,ATL,IAH,689,1351,145,16
XE,XE2279,XNA,IAH,438,1854,94,4
XE,XE2232,VPS,IAH,510,1425,117,132
XE,XE2181,EWR,MCI,1092,1554,192,59
XE,XE2597,IAH,SAV,851,2056,116,41
XE,XE3136,RDU,EWR,416,2002,91,-1
XE,XE2816,MDW,CLE,307,2025,97,71
XE,XE2838,CMH,EWR,462,1308,109,23
XE,XE2123,IAH,LBB,458,1857,116,64
XE,XE2007,IAH,HSV,595,1544,105,16
XE,XE2477,BUF,CLE,192,1904,90,39
XE,XE2923,IAH,DAL,217,1653,62,83
XE,XE2382,DAY,EWR,533,1027,122,114
XE,XE2648,CHS,EWR,628,1604,125,60
XE,XE2980,IAH,TYS,772,1331,110,-7
XE,XE1276,IAD,EWR,213,1532,73,30
XE,XE2970,ORF,EWR,284,1945,85,0
XE,XE2379,EWR,SDF,642,2241,136,187
XE,XE2059,EWR,OMA,1133,1343,202,13
XE,XE2171,IAH,ORF,1201,2104,150,36
XE,XE2322,IAH,MGM,554,1901,90,12
XE,XE2439,DCA,CLE,310,1844,84,23
XE,XE3055,SAV,IAH,851,1749,189,45
XE,XE3065,CLT,EWR,529,1759,108,10
XE,XE2105,IAH,GRR,1042,1538,157,163
XE,XE2235,EWR,BTV,266,1738,66,32
XE,XE2393,EWR,TYS,631,2021,150,54
XE,XE1278,IAD,EWR,213,1905,67,103
XE,XE2567,BNA,EWR,748,1713,159,52
XE,XE2489,EWR,ROC,246,1723,74,50
XE,XE3151,IAH,LFT,201,1559,54,16
XE,XE2686,EWR,ALB,143,1317,50,0
XE,XE2071,IAH,SLC,1195,1220,213,55
XE,XE2075,PVD,EWR,160,1746,97,63
XE,XE3049,ALB,CLE,424,1053,100,46
XE,XE2684,RIC,EWR,278,1902,74,59
XE,XE2578,ABE,CLE,339,1432,77,24
XE,XE2785,BTR,IAH,253,536,62,0
XE,XE2217,IAH,SAV,851,1418,118,18
XE,XE2883,LIT,IAH,374,1708,84,27
XE,XE2410,EWR,BWI,169,2111,78,40
XE,XE2564,EWR,SYR,194,837,60,-2
XE,XE3045,IAH,TYS,772,2022,111,61
XE,XE2299,IAH,TLH,658,1950,121,39
XE,XE2864,EWR,PIT,319,2059,110,30
XE,XE2028,OKC,IAH,395,1951,83,71
XE,XE2082,IAH,MFE,316,2000,80,63
XE,XE2501,SYR,EWR,194,1831,73,24
XE,XE2877,EWR,MSP,1008,1916,167,-4
XE,XE2746,ROC,CLE,245,2008,111,114
XE,XE2522,IAH,GSO,986,2025,134,32
XE,XE2440,BTV,CLE,489,2019,155,189
XE,XE2275,CLE,MDW,307,1856,127,49
XE,XE3129,EWR,BNA,748,1925,178,16
XE,XE2260,EWR,CVG,569,1547,139,16
XE,XE2692,ALB,EWR,143,1740,90,40
XE,XE2040,EWR,PVD,160,1544,62,26
XE,XE2715,IAH,XNA,438,1130,87,85
XE,XE2868,STL,EWR,872,1933,136,149
XE,XE2013,IAH,RIC,1157,1245,157,6
XE,XE3012,EWR,CMH,462,835,116,4
XE,XE2043,EWR,BTV,266,2316,66,87
XE,XE2261,EWR,RDU,416,1346,93,7
XE,XE2739,IAH,TUS,936,2124,162,18
XE,XE2790,RDU,EWR,416,1332,91,-6
XE,XE2060,IAH,LIT,374,1646,71,-5
XE,XE2972,IAH,CVG,871,1011,125,-11
XE,XE2052,PIT,EWR,319,1515,95,45
XE,XE2109,IAH,CLT,913,1631,139,22
XE,XE2985,EWR,DTW,487,2044,131,32
XE,XE2895,CLE,SAT,1241,3,207,195
XE,XE2169,IAH,MLU,262,1543,62,6
XE,XE2147,ROC,EWR,246,1901,85,31
XE,XE2874,CHS,EWR,628,1934,119,43
XE,XE1281,EWR,IAD,213,2145,80,127
XE,XE3148,BTV,EWR,266,1529,99,61
XE,XE2633,EWR,AVL,583,1448,130,48
XE,XE3110,IAH,LIT,374,1529,73,30
XE,XE3050,CLE,ABE,339,1244,89,41
XE,XE2558,EWR,OMA,1133,2130,193,50
XE,XE3052,EWR,DTW,487,1318,110,56
XE,XE2845,IAH,TUL,429,1130,93,26
XE,XE2793,CLE,AUS,1174,2202,269,156
XE,XE2266,CLE,BUF,192,1558,98,61
XE,XE2638,GPT,IAH,376,1656,86,25
XE,XE2503,EWR,BTV,266,1318,68,13
XE,XE2465,STL,EWR,872,1318,170,53
XE,XE1280,IAD,EWR,213,2015,86,56
XE,XE2267,EWR,BUF,282,1657,99,13
XE,XE2890,IAH,GPT,376,1510,73,23
XE,XE3032,MSP,IAH,1034,1908,162,-8
XE,XE2025,IAH,ABQ,744,1536,133,24
XE,XE2356,OMA,EWR,1133,1156,159,-15
XE,XE2726,EWR,OKC,1325,1640,230,87
XE,XE2589,EWR,SYR,194,1742,62,35
XE,XE2520,IAH,LIT,374,2140,76,44
XE,XE2988,CAE,EWR,602,2010,96,46
XE,XE2165,CLT,EWR,529,1851,102,-17
XE,XE2836,EWR,ORF,284,1802,79,19
XE,XE2124,ROC,EWR,246,1308,73,1
XE,XE2361,IAH,HSV,595,1350,96,53
XE,XE3097,CLE,GSP,450,1705,108,53
XE,XE2774,DAY,EWR,533,1801,138,44
XE,XE2248,EWR,BWI,169,1637,56,13
XE,XE2092,PHL,CLE,363,1509,105,61
XE,XE2336,EWR,BUF,282,1615,71,-5
XE,XE2825,EWR,BNA,748,1704,160,20
XE,XE3008,IAH,MCI,643,1004,146,36
XE,XE2748,IAH,RDU,1043,1550,147,0
XE,XE3080,BWI,EWR,169,1354,62,23
XE,XE2855,DAL,IAH,217,2115,65,465
XE,XE2920,IAH,RSW,861,852,137,2
XE,XE2473,BTR,IAH,253,1615,63,3
XE,XE3158,IAH,MKE,984,1704,151,85
XE,XE2291,MEM,EWR,946,1208,176,35
XE,XE2485,EWR,MEM,946,1658,185,68
XE,XE2114,IAH,GRR,1042,2019,160,55
XE,XE2805,CLE,ABE,339,2237,98,153
XE,XE2803,IAH,SHV,192,2115,52,10
XE,XE2704,MEM,IAH,469,932,100,0
XE,XE2167,EWR,CLT,529,1524,129,35
XE,XE2050,IAH,RIC,1157,1845,145,-10
XE,XE2994,CLT,EWR,529,1718,113,36
XE,XE2383,EWR,SAV,708,2037,179,42
XE,XE2023,SAV,IAH,851,1358,174,17
XE,XE2990,HSV,IAH,595,1756,117,19
XE,XE2051,IAH,JAN,351,1535,70,3
XE,XE2682,MYR,EWR,550,1346,114,27
XE,XE2443,CLE,DAY,162,2236,96,137
XE,XE2782,EWR,RIC,278,1954,101,20
XE,XE2018,ABQ,IAH,744,1715,129,19
XE,XE2795,LCH,IAH,127,1803,62,86
XE,XE2590,CLE,MKE,328,2111,128,64
XE,XE1222,ATL,EWR,745,1448,138,43
XE,XE2061,CLE,BUF,192,1242,94,127
XE,XE3133,IAH,CHA,686,2035,107,42
XE,XE2207,ICT,IAH,542,1643,87,-5
XE,XE2029,IAH,MSP,1034,1542,173,13
XE,XE2089,CLE,ORF,435,1238,95,51
XE,XE2064,IND,EWR,644,1438,141,39
XE,XE2603,IAH,ELP,667,850,112,4
XE,XE2688,GRR,EWR,605,1956,128,94
XE,XE2837,MCI,CLE,694,1914,142,61
XE,XE2517,SAV,EWR,708,1913,120,28
XE,XE2433,IAH,CRW,975,1850,142,8
XE,XE3137,IAH,LEX,828,1903,131,7
XE,XE2138,OMA,IAH,781,1800,130,24
XE,XE2315,LGA,CLE,418,2040,133,103
XE,XE2077,EWR,SAV,708,1545,165,36
XE,XE2332,PIT,EWR,319,1552,112,10
XE,XE2802,IAH,OMA,781,1811,151,37
XE,XE2733,GSP,IAH,838,1911,161,52
XE,XE3150,EWR,PVD,160,2245,54,74
XE,XE2401,CLE,MKE,328,1731,127,108
XE,XE2238,MCI,EWR,1092,1504,174,78
XE,XE2812,EWR,GSO,446,1840,105,68
XE,XE2285,MHT,CLE,544,1806,117,24
XE,XE2961,SYR,CLE,317,1914,93,43
XE,XE2931,VPS,IAH,510,1923,118,97
XE,XE2499,DAL,IAH,217,1810,71,16
XE,XE2753,EWR,LIT,1069,2050,226,71
XE,XE3005,PIT,EWR,319,103,91,289
XE,XE2009,BDL,EWR,116,1346,84,31
XE,XE2480,EWR,BDL,116,2211,68,40
XE,XE2690,EWR,BUF,282,1814,86,306
XE,XE2896,CLE,RIC,362,1907,110,43
XE,XE2227,MSP,IAH,1034,1724,171,5
XE,XE2298,IAH,IND,845,1700,140,43
XE,XE2312,MCI,IAH,643,1012,116,21
XE,XE2934,CLE,ABE,339,1630,87,50
XE,XE2491,BWI,EWR,169,1807,95,32
XE,XE2287,XNA,EWR,1130,1754,182,27
XE,XE2424,CVG,EWR,569,1708,127,40
XE,XE2737,GSP,EWR,594,1846,123,71
XE,XE2933,MSN,EWR,799,1835,146,66
XE,XE2249,IAH,MEM,469,1113,83,2
XE,XE1279,EWR,IAD,213,1846,71,90
XE,XE2894,OMA,EWR,1133,1733,176,49
XE,XE2149,DAL,IAH,217,638,63,11
XE,XE3039,EWR,CAE,602,1717,147,87
XE,XE2999,CLE,MSN,402,1140,110,2
XE,XE2030,ROC,EWR,246,1715,100,45
XE,XE2471,IAH,BNA,657,1848,118,17
XE,XE2240,IAH,MSP,1034,2108,179,24
XE,XE2389,GRR,CLE,214,1946,114,220
XE,XE2133,IAH,COS,809,2224,147,61
XE,XE2626,CLE,SYR,317,1637,89,42
XE,XE2104,CLE,DAY,162,2244,77,378
XE,XE2741,CVG,EWR,569,1919,138,62
XE,XE3142,EWR,CMH,462,1844,115,80
XE,XE2483,HSV,IAH,595,1550,123,58
XE,XE2815,ROC,EWR,246,1028,80,14
XE,XE2500,LEX,EWR,588,1603,127,85
XE,XE2938,IAH,HSV,595,2122,100,85
XE,XE3126,EWR,PIT,319,1558,110,49
XE,XE2756,EWR,BHM,850,2054,199,71
XE,XE2523,CLE,DTW,95,2325,78,176
XE,XE2616,RIC,EWR,278,1338,65,18
XE,XE2807,TYS,EWR,631,1425,112,39
XE,XE2967,DAL,IAH,217,1737,56,-7
XE,XE2540,EWR,BNA,748,655,177,45
XE,XE2627,ALB,CLE,424,1855,132,67
XE,XE2212,CLE,MCI,694,2212,159,121
XE,XE2314,EWR,ALB,143,1745,53,49
XE,XE2565,BTV,EWR,266,1933,80,30
XE,XE1210,DCA,EWR,199,1610,75,45
XE,XE2882,BNA,EWR,748,1906,116,-7
XE,XE1223,EWR,ORD,719,2001,153,79
XE,XE2416,EWR,SAV,708,936,145,6
XE,XE2939,EWR,LEX,588,1618,133,31
XE,XE2297,MHT,EWR,209,1416,85,31
XE,XE2087,EWR,ORF,284,2131,90,29
XE,XE2773,IAH,JAN,351,1228,71,6
XE,XE3088,MHT,CLE,544,1401,123,42
XE,XE2358,BHM,IAH,562,1036,114,46
XE,XE2979,BDL,EWR,116,1623,103,49
XE,XE2718,SDF,EWR,642,1645,129,39
XE,XE3041,BUF,EWR,282,1915,141,121
XE,XE2840,EWR,MHT,209,2212,67,40
XE,XE2044,IAH,BHM,562,1622,95,12
XE,XE2675,EWR,GSP,594,2219,134,108
XE,XE2244,CLE,BTV,489,1752,129,153
XE,XE2117,EWR,JAN,1055,1937,230,69
XE,XE2283,EWR,CLT,529,1611,127,16
XE,XE2789,EWR,RDU,416,1125,90,2
XE,XE2637,DAL,IAH,217,1835,64,89
XE,XE2359,EWR,CLT,529,1421,139,40
XE,XE2723,JAX,EWR,821,1413,130,24
XE,XE3132,IAH,JAX,817,1642,124,14
XE,XE2355,MKE,EWR,725,1339,139,28
XE,XE2922,ABQ,IAH,744,1546,117,13
XE,XE3064,BUF,EWR,282,1434,90,120
XE,XE2824,IAH,BHM,562,1353,95,10
XE,XE2296,PWM,EWR,284,1859,121,56
XE,XE2791,IAH,CVG,871,1404,135,14
XE,XE2319,EWR,MHT,209,1524,73,9
XE,XE2135,DTW,EWR,487,1336,100,11
XE,XE2450,SYR,EWR,194,1312,65,-3
XE,XE2531,MHT,EWR,209,1731,99,30
XE,XE2758,PVD,EWR,160,1330,86,8
XE,XE2058,MCI,EWR,1092,1902,167,11
XE,XE2634,EWR,BNA,748,1003,164,12
XE,XE2898,EWR,ROC,246,1821,84,75
XE,XE2888,CLE,MKE,328,1240,92,40
XE,XE2055,IAH,DAL,217,2253,58,89
XE,XE2225,MCI,IAH,643,1831,128,55
XE,XE2445,EWR,RDU,416,2127,109,21
XE,XE1240,EWR,DCA,199,1325,76,154
XE,XE2236,MSP,EWR,1008,1455,167,47
XE,XE2974,IAH,MOB,427,2152,68,78
XE,XE2427,MKE,IAH,984,1902,174,103
XE,XE2681,OMA,IAH,781,1115,129,25
XE,XE1218,DCA,EWR,199,1511,77,138
YV,YV7138,ORD,ABE,654,1426,144,43
YV,YV7263,ORD,ABE,654,1144,106,160
YV,YV7069,DEN,ASE,125,1037,66,10
YV,YV7074,DEN,ASE,125,810,51,23
YV,YV7098,ASE,DEN,125,1346,62,8
YV,YV2959,ASE,PHX,491,1245,135,29
YV,YV7136,ORD,ATW,160,1717,60,159
YV,YV7228,AUS,IAD,1297,1708,171,11
YV,YV7276,AUS,IAD,1297,1206,169,-4
YV,YV7419,BDL,ORD,783,1442,168,49
YV,YV7200,BHM,ORD,584,2031,156,157
YV,YV7306,BMI,ORD,116,617,58,18
YV,YV7307,BMI,ORD,116,1455,95,36
YV,YV2654,BNA,CLT,329,1737,68,6
YV,YV7149,IAD,BNA,542,1712,113,30
YV,YV7368,BNA,IAD,542,1531,98,16
YV,YV7266,ORD,BNA,409,1605,114,44
YV,YV7404,BOS,IAD,413,1806,109,88
YV,YV7227,BUF,ORD,473,2120,109,114
YV,YV7179,CAE,IAD,401,1020,68,-12
YV,YV7350,CAE,ORD,666,1950,133,126
YV,YV7160,ORD,CAK,344,1019,81,44
YV,YV7352,CAK,ORD,344,1840,133,122
YV,YV7337,IAD,CHS,441,1350,108,66
YV,YV7293,CHS,ORD,760,1949,145,142
YV,YV7165,ORD,CID,196,1425,119,74
YV,YV2687,CLE,CLT,430,1700,145,83
YV,YV7135,IAD,CLE,288,1810,86,45
YV,YV7159,CLE,IAD,288,1050,100,60
YV,YV2661,GSO,CLT,83,1439,49,17
YV,YV2688,CLT,CLE,430,1440,112,38
YV,YV2638,CLT,CMH,346,1600,70,2
YV,YV2696,CLT,EWR,529,2220,95,-7
YV,YV7174,CLT,IAD,321,1505,75,20
YV,YV7439,IAD,CLT,321,914,116,42
YV,YV2601,CLT,IAH,913,818,167,34
YV,YV2611,CLT,IAH,913,2220,175,16
YV,YV2667,CLT,IAH,913,1445,185,27
YV,YV2612,CLT,ILM,185,1005,60,16
YV,YV2614,CLT,JFK,541,945,110,17
YV,YV2657,CLT,MEM,512,2140,126,123
YV,YV2685,CLT,MYR,156,1446,64,12
YV,YV7153,CLT,ORD,599,1411,114,86
YV,YV7281,CLT,ORD,599,1507,124,32
YV,YV2640,CLT,ORF,290,815,65,27
YV,YV2625,CLT,PNS,488,1730,105,136
YV,YV2606,CLT,PWM,812,2015,110,67
YV,YV2690,CLT,SAV,213,2106,65,40
YV,YV2655,CMH,CLT,346,1750,101,20
YV,YV7131,DEN,CPR,230,1731,84,32
YV,YV7146,DEN,ATL,1199,1940,167,44
YV,YV7086,DEN,DRO,251,1354,73,9
YV,YV7325,DEN,MCI,533,1037,91,114
YV,YV7097,RAP,DEN,301,1546,82,27
YV,YV7302,DEN,SAT,794,1324,153,52
YV,YV7197,DSM,DEN,589,1202,113,31
YV,YV2631,DTW,CLT,500,715,140,48
YV,YV2633,DTW,CLT,500,1910,118,25
YV,YV7078,EGE,DEN,121,621,70,22
YV,YV2858,FLG,PHX,119,1905,60,75
YV,YV7357,ORD,FSD,462,1308,109,41
YV,YV7243,FWA,ORD,157,2040,93,128
YV,YV7068,GJT,DEN,212,738,88,13
YV,YV2906,GJT,PHX,438,1945,120,80
YV,YV7234,GRB,ORD,174,1630,88,134
YV,YV7395,GRR,ORD,137,1355,61,19
YV,YV7296,ORD,GSO,590,1437,136,73
YV,YV7156,GSP,ORD,577,950,120,155
YV,YV7173,GSP,ORD,577,1949,118,115
YV,YV7198,GSP,ORD,577,1234,114,-2
YV,YV1028,LIH,HNL,102,1648,39,18
YV,YV1027,OGG,HNL,100,1455,42,20
YV,YV1029,KOA,HNL,163,1840,50,20
YV,YV1037,HNL,OGG,100,1400,37,12
YV,YV7403,IAD,HSV,595,1250,140,60
YV,YV7201,IAD,ATL,533,843,118,6
YV,YV7157,IAD,BOS,413,1601,87,79
YV,YV7185,IAD,CLE,288,5,87,144
YV,YV7189,IAD,CLT,321,1725,110,48
YV,YV7231,IAD,CLT,321,1252,93,27
YV,YV7409,IAD,HSV,595,1843,125,13
YV,YV7304,JAX,IAD,631,1645,121,133
YV,YV7145,IAD,LGA,229,1932,71,74
YV,YV7209,IAD,LGA,229,852,69,91
YV,YV7365,LGA,IAD,229,1445,85,20
YV,YV7140,IAD,MDT,94,1911,47,112
YV,YV7180,IAD,ORF,157,1357,49,88
YV,YV7260,IAD,ORF,157,2315,60,70
YV,YV7496,IAD,ORF,157,1457,52,14
YV,YV7255,PIT,IAD,183,1458,75,19
YV,YV7315,IAD,PWM,494,924,92,55
YV,YV7291,IAD,ROA,177,1720,64,19
YV,YV7445,IAD,SAT,1362,2040,227,75
YV,YV7319,SAV,IAD,515,2008,80,47
YV,YV7285,IAD,SPI,657,1705,138,27
YV,YV2630,IAH,CLT,913,1045,140,30
YV,YV2644,IAH,CLT,913,1715,145,12
YV,YV1025,KOA,HNL,163,1450,45,25
YV,YV7240,LAN,ORD,179,1744,93,144
YV,YV2945,LAS,EUG,699,320,115,185
YV,YV2866,LAS,MFR,599,45,107,31
YV,YV7183,LGA,IAD,229,1306,87,192
YV,YV2995,PHX,OKC,833,1102,120,56
YV,YV1030,LIH,HNL,102,2045,39,15
YV,YV1038,LIH,HNL,102,1445,35,11
YV,YV7223,MBS,ORD,222,1945,72,232
YV,YV7354,MCI,IAD,926,1347,157,102
YV,YV7282,MDT,ORD,594,2052,175,167
YV,YV2865,MFR,LAS,599,2045,99,11
