nombre,genero,edad,pais,anio,evento,medalla
omar abdulrahman ahmad al-raaqi al-amoudi,m,20,united arab emirates,2012,football men's football,na
waheed abdulridha waheed karaawi,m,33,iraq,2016,boxing men's middleweight,na
mohamed abdultwab ibrahim abd el-baki,m,21,egypt,2008,weightlifting men's featherweight,na
mohamed abdultwab ibrahim abd el-baki,m,25,egypt,2012,weightlifting men's lightweight,na
julius shareef abdur-rahim,m,23,united states,2000,basketball men's basketball,gold
sherzod abdurahmonov,m,22,uzbekistan,2004,boxing men's middleweight,na
rasul abduraim,m,19,kyrgyzstan,2008,taekwondo men's featherweight,na
rasul abduraim,m,23,kyrgyzstan,2012,taekwondo men's welterweight,na
bekzod makhamadzhonovich abdurakhmonov,m,26,uzbekistan,2016,wrestling men's middleweight freestyle,na
mukhamadmurod abdurakhmonov,m,29,tajikistan,2016,judo men's heavyweight,na
adlan aliyevich abdurashidov,m,26,russia,2016,boxing men's lightweight,na
yusup abdusalomov,m,26,tajikistan,2004,wrestling men's middleweight freestyle,na
yusup abdusalomov,m,30,tajikistan,2008,wrestling men's light-heavyweight freestyle,silver
yusup abdusalomov,m,34,tajikistan,2012,wrestling men's light-heavyweight freestyle,na
dzhamolidin mirgarifanovich abduzhaparov,m,32,uzbekistan,1996,cycling men's road race individual,na
aybek abdymomunov,m,18,kyrgyzstan,2004,boxing men's bantamweight,na
sanshiro sonny abe,m,26,japan,1996,wrestling men's bantamweight freestyle,na
yoshiyuki abe,m,31,japan,2000,cycling men's road race individual,na
yuki abe,m,22,japan,2004,football men's football,na
addis abebe,m,21,ethiopia,1992,athletics men's 5000 metres,na
addis abebe,m,21,ethiopia,1992,athletics men's 10000 metres,bronze
biruk abebe,m,22,ethiopia,1992,cycling men's road race individual,na
biruk abebe,m,22,ethiopia,1992,cycling men's 100 kilometres team time trial,na
mara abel diguez,f,25,spain,2000,athletics women's 10000 metres,na
mara abel diguez,f,29,spain,2004,athletics women's marathon,na
yaritza abel rojas,f,28,cuba,2012,judo women's half-middleweight,na
abelardo fernndez antua,m,22,spain,1992,football men's football,gold
arthur abele,m,22,germany,2008,athletics men's decathlon,na
arthur abele,m,30,germany,2016,athletics men's decathlon,na
jos javier abella fanjul,m,22,mexico,2016,football men's football,na
gezahgne abera,m,22,ethiopia,2000,athletics men's marathon,gold
tesfaye abera dibaba,m,24,ethiopia,2016,athletics men's marathon,na
mohamed aberhoune,m,23,morocco,2012,football men's football,na
elvan abeylegesse,f,21,turkey,2004,athletics women's 1500 metres,na
elvan abeylegesse,f,21,turkey,2004,athletics women's 5000 metres,na
elvan abeylegesse,f,25,turkey,2008,athletics women's 5000 metres,silver
elvan abeylegesse,f,25,turkey,2008,athletics women's 10000 metres,na
narek abgaryan,m,24,armenia,2016,boxing men's flyweight,na
sagat abikeyeva,f,27,kazakhstan,2008,judo women's half-heavyweight,na
tomomi abiko,f,24,japan,2012,athletics women's pole vault,na
camille anne franoise abily,f,27,france,2012,football women's football,na
camille anne franoise abily,f,31,france,2016,football women's football,na
inga eduardovna abitova,f,26,russia,2008,athletics women's 10000 metres,na
ceyhun abiyev,m,29,azerbaijan,2004,boxing men's light-flyweight,na
felix ahmed aboagye,m,20,ghana,1996,football men's football,na
zakaria aboub,m,20,morocco,2000,football men's football,na
ibrahim mohamedin aboubaker,m,21,qatar,2004,athletics men's triple jump,na
ibrahim mohamedin aboubaker,m,25,qatar,2008,athletics men's triple jump,na
ahmed ghmin aboud,m,22,iraq,1992,boxing men's bantamweight,na
rabah aboud,m,31,algeria,2012,athletics men's 5000 metres,na
haysam farouk abouelw,m,21,egypt,1992,football men's football,na
el-sayed aboumedan,m,26,egypt,2004,judo men's half-middleweight,na
sdonoud janvier abouta,m,23,mali,2004,football men's football,na
mohamed mohamed mohamed aboutrika,m,33,egypt,2012,football men's football,na
tadesse abraham,m,33,switzerland,2016,athletics men's marathon,na
shiny kurisingal abraham-wilson,f,27,india,1992,athletics women's 800 metres,na
lahcen abrami,m,22,morocco,1992,football men's football,na
aliyah abrams,f,19,guyana,2016,athletics women's 400 metres,na
antnio da cunha meneses martins abrantes,m,24,portugal,1992,athletics men's 800 metres,na
antnio da cunha meneses martins abrantes,m,28,portugal,1996,athletics men's 800 metres,na
arnaldo lus isaas abrantes,m,21,portugal,2008,athletics men's 200 metres,na
arnaldo lus isaas abrantes,m,25,portugal,2012,athletics men's 200 metres,na
amir abrashi,m,22,switzerland,2012,football men's football,na
glauclio serro abreu,m,26,brazil,2004,boxing men's middleweight,na
rubn abreu rivero,m,24,venezuela,1996,cycling men's road race individual,na
rika abril surez,f,34,colombia,2012,athletics women's marathon,na
rika abril surez,f,38,colombia,2016,athletics women's marathon,na
alejandro lex abrines redondo,m,23,spain,2016,basketball men's basketball,bronze
anastasiya aleksandrovna abrosimova,f,26,russia,2016,triathlon women's olympic distance,na
svetlana olegovna abrosimova,f,20,russia,2000,basketball women's basketball,na
svetlana olegovna abrosimova,f,28,russia,2008,basketball women's basketball,bronze
ayele abshero biza,m,21,ethiopia,2012,athletics men's marathon,na
mohamed abu abdullah,m,27,bangladesh,2008,athletics men's 100 metres,na
abdul wahab abu al-hail labid,m,27,iraq,2004,football men's football,na
methkal marouf abu drais,m,28,jordan,2012,athletics men's marathon,na
methkal marouf abu drais,m,32,jordan,2016,athletics men's marathon,na
majed abu maraheel,m,33,palestine,1996,athletics men's 10000 metres,na
maher abu rmilah,m,28,palestine,2012,judo men's lightweight,na
bektas abubakirov,m,23,kazakhstan,1996,boxing men's bantamweight,na
nagmeldin ali abubakr,m,18,sudan,2004,athletics men's 400 metres,na
nagmeldin ali abubakr,m,22,sudan,2008,athletics men's 400 metres,na
sanna abubkheet,f,19,palestine,2004,athletics women's 800 metres,na
abudoureheman,m,22,china,2000,boxing men's middleweight,na
folashade shade abugan,f,17,nigeria,2008,athletics women's 400 metres,na
hamza abughalia,m,23,libya,2004,weightlifting men's light-heavyweight,na
ahmad abughaush,m,20,jordan,2016,taekwondo men's featherweight,gold
fartun abukar omar,f,18,somalia,2004,athletics women's 100 metres,na
mohammed abukhousa,m,23,palestine,2016,athletics men's 100 metres,na
mohammad abulibdeh,m,28,jordan,2012,taekwondo men's featherweight,na
kariman abuljadayel,f,22,saudi arabia,2016,athletics women's 100 metres,na
jos manuel abundis sandoval,m,23,mexico,1996,football men's football,na
shigeru aburaya,m,27,japan,2004,athletics men's marathon,na
cristobal alejandro aburto tinoco,m,28,mexico,2004,judo men's extra-lightweight,na
kanat kalizhanovich abutalipov,m,25,kazakhstan,2008,boxing men's bantamweight,na
kanat kalizhanovich abutalipov,m,29,kazakhstan,2012,boxing men's bantamweight,na
irina alekseyevna abysova,f,27,russia,2008,triathlon women's olympic distance,na
irina alekseyevna abysova,f,31,russia,2012,triathlon women's olympic distance,na
anibl santiago acevedo,m,21,puerto rico,1992,boxing men's welterweight,bronze
eyne acevedo tabares,m,22,colombia,1992,weightlifting men's lightweight,na
jos eduardo acevedo herrera,m,22,venezuela,2008,athletics men's 200 metres,na
jaouad achab,m,23,belgium,2016,taekwondo men's featherweight,na
mustapha achab,m,22,morocco,1992,football men's football,na
kieron robert achara,m,29,great britain,2012,basketball men's basketball,na
aziz acharki,m,28,germany,2000,taekwondo men's featherweight,na
joachim yaw acheampong,m,18,ghana,1992,football men's football,bronze
mohamed abdelhak achik,m,27,morocco,1992,boxing men's bantamweight,bronze
mohamed abdelhak achik,m,31,morocco,1996,boxing men's featherweight,na
onochie lawrence larry achike,m,25,great britain,2000,athletics men's triple jump,na
onochie lawrence larry achike,m,33,great britain,2008,athletics men's triple jump,na
janet achola,f,24,uganda,2012,athletics women's 1500 metres,na
julius achon,m,19,uganda,1996,athletics men's 1500 metres,na
julius achon,m,23,uganda,2000,athletics men's 1500 metres,na
natalie chioma achonwa,f,19,canada,2012,basketball women's basketball,na
natalie chioma achonwa,f,23,canada,2016,basketball women's basketball,na
nathaniel leedom nate ackerman,m,26,great britain,2004,wrestling men's middleweight freestyle,na
georg ackermann,m,24,germany,1996,athletics men's long jump,na
bryan josu acosta ramos,m,22,honduras,2016,football men's football,na
julio csar acosta gonzlez,m,29,chile,2016,weightlifting men's featherweight,na
lautaro germn acosta,m,20,argentina,2008,football men's football,gold
luz mercedes acosta valdez,f,27,mexico,2008,weightlifting women's middleweight,na
luz mercedes acosta valdez,f,31,mexico,2012,weightlifting women's middleweight,na
mara jos acosta acosta,f,24,venezuela,2016,wrestling women's light-heavyweight freestyle,na
osmay acosta duarte,m,23,cuba,2008,boxing men's heavyweight,bronze
robert acquafresca,m,20,italy,2008,football men's football,na
amelia lynn amy acuff (-harvey),f,21,united states,1996,athletics women's high jump,na
amelia lynn amy acuff (-harvey),f,25,united states,2000,athletics women's high jump,na
amelia lynn amy acuff (-harvey),f,29,united states,2004,athletics women's high jump,na
amelia lynn amy acuff (-harvey),f,33,united states,2008,athletics women's high jump,na
amelia lynn amy acuff (-harvey),f,37,united states,2012,athletics women's high jump,na
ricardo acua,m,25,mexico,1996,judo men's extra-lightweight,na
roberto acua,m,25,argentina,2016,basketball men's basketball,na
arslanbek aylow,m,23,turkmenistan,2016,boxing men's middleweight,na
mariko adachi,f,29,japan,2012,triathlon women's olympic distance,na
takumi adachi,m,26,japan,1992,wrestling men's featherweight freestyle,na
idrissa adam,m,27,cameroon,2012,athletics men's 100 metres,na
joseph adam,m,27,seychelles,1992,athletics men's 400 metres,na
marcus adam,m,24,great britain,1992,athletics men's 100 metres,na
marcus adam,m,24,great britain,1992,athletics men's 200 metres,na
moustafa adam,m,23,egypt,1992,modern pentathlon men's individual,na
moustafa adam,m,23,egypt,1992,modern pentathlon men's team,na
ahmed adam salah,m,30,sudan,1996,athletics men's marathon,na
dariusz adamczuk,m,22,poland,1992,football men's football,silver
tomasz adamiec,m,26,poland,2008,judo men's half-lightweight,na
tomasz adamiec,m,30,poland,2012,judo men's lightweight,na
antoine xavier adams,m,23,saint kitts and nevis,2012,athletics men's 100 metres,na
antoine xavier adams,m,23,saint kitts and nevis,2012,athletics men's 200 metres,na
antoine xavier adams,m,27,saint kitts and nevis,2016,athletics men's 100 metres,na
antoine xavier adams,m,27,saint kitts and nevis,2016,athletics men's 200 metres,na
liam adams,m,29,australia,2016,athletics men's marathon,na
luke kendall adams,m,27,australia,2004,athletics men's 20 kilometres walk,na
luke kendall adams,m,31,australia,2008,athletics men's 20 kilometres walk,na
luke kendall adams,m,31,australia,2008,athletics men's 50 kilometres walk,na
luke kendall adams,m,35,australia,2012,athletics men's 50 kilometres walk,na
lyukman rasakovich adams,m,23,russia,2012,athletics men's triple jump,na
nicola virginia adams,f,29,great britain,2012,boxing women's flyweight,gold
nicola virginia adams,f,33,great britain,2016,boxing women's flyweight,gold
charles adamu,m,23,ghana,2000,boxing men's light-heavyweight,na
jos carlos adn arias,m,25,spain,1992,athletics men's 10000 metres,na
aboukar hassan adani,m,28,somalia,1996,athletics men's 5000 metres,na
yasemin adar,f,24,turkey,2016,wrestling women's heavyweight freestyle,na
joseph joe addo,m,24,ghana,1996,football men's football,na
simon addo,m,17,ghana,1992,football men's football,bronze
simon addo,m,21,ghana,1996,football men's football,na
jangy mckinley addy,m,23,liberia,2008,athletics men's decathlon,na
jangy mckinley addy,m,27,liberia,2012,athletics men's decathlon,na
mercy addy,f,32,ghana,1996,athletics women's 400 metres,na
james adede,m,29,kenya,2016,weightlifting men's middle-heavyweight,na
olubayo adefemi,m,22,nigeria,2008,football men's football,silver
oluwakemi 'kemi' adekoya,f,23,bahrain,2016,athletics women's 400 metres,na
amos ojo adekunle,m,30,nigeria,1992,wrestling men's light-flyweight freestyle,na
odunayo folasade adekuoroye,f,22,nigeria,2016,wrestling women's featherweight freestyle,na
ayodele dele adeleye,m,19,nigeria,2008,football men's football,silver
abrar osman adem,m,18,eritrea,2012,athletics men's 5000 metres,na
abrar osman adem,m,22,eritrea,2016,athletics men's 5000 metres,na
ibrahim mohamed aden gedi,m,23,somalia,1996,athletics men's 800 metres,na
ibrahim mohamed aden gedi,m,27,somalia,2000,athletics men's 1500 metres,na
olapade charles adeniken,m,22,nigeria,1992,athletics men's 100 metres,na
olapade charles adeniken,m,22,nigeria,1992,athletics men's 200 metres,na
olapade charles adeniken,m,26,nigeria,1996,athletics men's 100 metres,na
aminat oluwafunmilayo adeniyi,f,23,nigeria,2016,wrestling women's lightweight freestyle,na
margaret adetutu adeoye,f,27,great britain,2012,athletics women's 200 metres,na
berhane adere debala,f,22,ethiopia,1996,athletics women's 10000 metres,na
berhane adere debala,f,27,ethiopia,2000,athletics women's 10000 metres,na
berhane adere debala,f,35,ethiopia,2008,athletics women's marathon,na
nyakisi adero,f,30,uganda,2016,athletics women's marathon,na
kamal bahadur adhikari,m,31,nepal,2008,weightlifting men's lightweight,na
haydy morsy adil,f,16,egypt,2016,modern pentathlon women's individual,na
adel mohamed adili,m,21,libya,1996,athletics men's marathon,na
adel mohamed adili,m,26,libya,2000,athletics men's marathon,na
badathala adisekhar,m,28,india,1992,weightlifting men's flyweight,na
badathala adisekhar,m,32,india,1996,weightlifting men's flyweight,na
adiyasambuu tsolmon,f,23,mongolia,2016,judo women's half-lightweight,na
sammi adjei,m,18,ghana,1992,football men's football,bronze
christian donfack adjoufack,m,28,cameroon,2012,boxing men's light-heavyweight,na
bradley don brad adkins,m,22,united states,2016,athletics men's high jump,na
khadour adnan,m,25,syria,1996,boxing men's light-heavyweight,na
christopher silas adolf,m,24,palau,2000,athletics men's 100 metres,na
lars olof melker adolfsson,m,26,sweden,1992,judo men's half-middleweight,na
dainius adomaitis,m,26,lithuania,2000,basketball men's basketball,bronze
omar adorno,m,23,puerto rico,1996,boxing men's flyweight,na
vera adrian,f,22,namibia,2016,cycling women's road race individual,na
adriana aparecida dos santos,f,21,brazil,1992,basketball women's basketball,na
adriana aparecida dos santos,f,25,brazil,1996,basketball women's basketball,silver
adriana aparecida dos santos,f,29,brazil,2000,basketball women's basketball,bronze
adriana adrianinha moiss pinto,f,21,brazil,2000,basketball women's basketball,bronze
adriana adrianinha moiss pinto,f,25,brazil,2004,basketball women's basketball,na
adriana adrianinha moiss pinto,f,29,brazil,2008,basketball women's basketball,na
adriana adrianinha moiss pinto,f,33,brazil,2012,basketball women's basketball,na
adriana adrianinha moiss pinto,f,37,brazil,2016,basketball women's basketball,na
fredua koranteng freddy adu,m,19,united states,2008,football men's football,na
martha adusei,f,24,canada,2000,athletics women's 100 metres,na
erkin adylbek uulu,m,25,kyrgyzstan,2016,boxing men's light-heavyweight,na
silulu a'etonu (-grey),f,24,american samoa,2008,judo women's half-middleweight,na
mario aerts,m,33,belgium,2008,cycling men's road race individual,na
sara aerts,f,28,belgium,2012,athletics women's heptathlon,na
andreas aeschbach,m,22,switzerland,1992,cycling men's points race,na
hamed afagh eslamieh,m,25,iran,2008,basketball men's basketball,na
nikolay konstantinovich afanasyev,m,30,russia,1996,athletics men's decathlon,na
yelena aleksandrovna afanasyeva (vlasova-),f,30,russia,1996,athletics women's 800 metres,na
abel aferalign,m,20,ethiopia,2004,boxing men's bantamweight,na
franois jacques affolter,m,21,switzerland,2012,football men's football,na
shimaa afifi,f,19,egypt,2000,taekwondo women's featherweight,na
madjid aflaki khamesh,m,27,iran,2000,taekwondo men's welterweight,na
olabisi bisi afolabi,f,20,nigeria,1996,athletics women's 400 metres,na
olabisi bisi afolabi,f,24,nigeria,2000,athletics women's 400 metres,na
nuno miguel figueiredo afonso,m,21,portugal,1996,football men's football,na
mehrdad afsharian tarshiz,m,37,iran,1992,cycling men's individual pursuit 4000 metres,na
mehrdad afsharian tarshiz,m,37,iran,1992,cycling men's team pursuit 4000 metres,na
mirza najib aga,m,19,india,1996,judo men's half-lightweight,na
victor okechukwu agali,m,21,nigeria,2000,football men's football,na
steven kirwan steve agar,m,28,dominica,1996,athletics men's 1500 metres,na
rstm aayev,m,22,azerbaijan,2004,wrestling men's heavyweight freestyle,na
clarisse agbegnenou,f,23,france,2016,judo women's half-middleweight,silver
sonya agbssi,f,19,benin,1992,athletics women's long jump,na
franco agentho,m,22,uganda,1996,boxing men's lightweight,na
khoudir aggoune,m,23,algeria,2004,athletics men's 5000 metres,na
mamed aghaev,m,28,armenia,2004,wrestling men's light-heavyweight freestyle,na
julius aghahowa,m,18,nigeria,2000,football men's football,na
levon aghasyan,m,21,armenia,2016,athletics men's triple jump,na
naroa agirre kamio,f,25,spain,2004,athletics women's pole vault,na
naroa agirre kamio,f,29,spain,2008,athletics women's pole vault,na
jeffrey allan jeff agoos,m,32,united states,2000,football men's football,na
paul agostino,m,21,australia,1996,football men's football,na
simon agoston,m,31,austria,2008,triathlon men's olympic distance,na
salvador jos milhazes agra,m,24,portugal,2016,football men's football,na
slim agrebi,m,22,tunisia,1996,judo men's heavyweight,na
eric agueh,m,24,benin,1996,athletics men's 100 metres,na
ernesto agero shell,m,22,cuba,1992,weightlifting men's super-heavyweight,na
sergio leonel agero del castillo,m,20,argentina,2008,football men's football,gold
judith guila hernndez,f,19,cuba,1992,basketball women's basketball,na
judith guila hernndez,f,23,cuba,1996,basketball women's basketball,na
alessandra aguilar morn,f,30,spain,2008,athletics women's marathon,na
alessandra aguilar morn,f,34,spain,2012,athletics women's marathon,na
alessandra aguilar morn,f,38,spain,2016,athletics women's marathon,na
elisabeth elisa aguilar lpez,f,27,spain,2004,basketball women's basketball,na
elisabeth elisa aguilar lpez,f,31,spain,2008,basketball women's basketball,na
evelis jazmin aguilar torres,f,23,colombia,2016,athletics women's heptathlon,na
felipe aguilar mendoza,m,23,colombia,2016,football men's football,na
florencio aguilar mejia,m,32,panama,1992,athletics men's 100 metres,na
irving jaime aguilar robles,m,26,mexico,1996,cycling men's road race individual,na
jessica carolina aguilera aguilera,f,23,nicaragua,2008,athletics women's 100 metres,na
yosvany aguilera zamora,m,21,cuba,1996,boxing men's light-flyweight,na
yosvany aguilera zamora,m,25,cuba,2000,boxing men's featherweight,na
damaris gabriela aguirre aldaz,f,27,mexico,2004,weightlifting women's heavyweight,na
damaris gabriela aguirre aldaz,f,31,mexico,2008,weightlifting women's heavyweight,na
rick germain aguirre tafolla,m,19,mexico,2016,football men's football,na
gustavo hernando aguirre,m,23,argentina,2000,athletics men's 400 metres,na
jorge david aguirre wardi,m,30,argentina,1992,judo men's half-heavyweight,na
william duilio aguirre villavicencio,m,29,nicaragua,1992,athletics men's marathon,na
william duilio aguirre villavicencio,m,33,nicaragua,1996,athletics men's marathon,na
matas aguirregaray guruceaga,m,23,uruguay,2012,football men's football,na
sri wahyuni agustiani,f,21,indonesia,2016,weightlifting women's flyweight,silver
lameck aguta orero,m,24,kenya,1996,athletics men's marathon,na
albert agyemang,m,18,ghana,1996,athletics men's 200 metres,na
albert agyemang,m,22,ghana,2000,athletics men's 200 metres,na
francis keita agyepong,m,27,great britain,1992,athletics men's triple jump,na
francis keita agyepong,m,31,great britain,1996,athletics men's triple jump,na
nicholas mark nick a'hern,m,23,australia,1992,athletics men's 20 kilometres walk,na
nicholas mark nick a'hern,m,27,australia,1996,athletics men's 20 kilometres walk,na
nicholas mark nick a'hern,m,31,australia,2000,athletics men's 20 kilometres walk,na
feta ahamada,f,21,comoros,2008,athletics women's 100 metres,na
feta ahamada,f,25,comoros,2012,athletics women's 100 metres,na
younes al-ahamdi,m,28,morocco,2004,judo men's extra-lightweight,na
younes al-ahamdi,m,32,morocco,2008,judo men's extra-lightweight,na
kelsie ahbe,f,25,canada,2016,athletics women's pole vault,na
koku mensah ahiaku,m,29,togo,1992,cycling men's road race individual,na
stephen dotse koblah ahialey,m,22,ghana,1992,boxing men's light-flyweight,na
augustine ahinful,m,21,ghana,1996,football men's football,na
maqsood ahmad,m,23,pakistan,2000,athletics men's 200 metres,na
mohamed ahmad ali gharib juma,m,23,united arab emirates,2012,football men's football,na
azneem ahmed,m,23,maldives,2012,athletics men's 100 metres,na
esraa ahmed el-sayed,f,17,egypt,2016,weightlifting women's middleweight,na
ghofran ahmed zaki,m,23,egypt,2016,taekwondo men's featherweight,na
mohammed ahmed,m,21,canada,2012,athletics men's 10000 metres,na
mohammed ahmed,m,25,canada,2016,athletics men's 5000 metres,na
mohammed ahmed,m,25,canada,2016,athletics men's 10000 metres,na
raed ahmed,m,29,iraq,1996,weightlifting men's heavyweight i,na
shamha ahmed,f,18,maldives,2000,athletics women's 100 metres,na
shehabeldin ahmed saad ahmed saad,m,21,egypt,2012,football men's football,na
sohail ahmed,m,25,pakistan,2004,boxing men's featherweight,na
masbah ahmmed,m,21,bangladesh,2016,athletics men's 100 metres,na
murielle ahour,f,24,cote d'ivoire,2012,athletics women's 100 metres,na
murielle ahour,f,24,cote d'ivoire,2012,athletics women's 200 metres,na
murielle ahour,f,28,cote d'ivoire,2016,athletics women's 100 metres,na
murielle ahour,f,28,cote d'ivoire,2016,athletics women's 200 metres,na
mustafa m. ahshad,m,21,libya,1992,weightlifting men's super-heavyweight,na
michelle-lee raquel ahye,f,20,trinidad and tobago,2012,athletics women's 100 metres,na
